event_id,event_time_status,n_event_time_rows
SBUX_000000000021011675,ok,211
SBUX_000000000024000582,ok,211
SO_000000000021010013,ok,211
SOLV_000000000023002523,ok,61
SOLV_000000000024000187,ok,61
SOLV_999999999724000415,ok,61
SOLV_000000000024002348,ok,61
SOLV_000000000024012887,ok,211
STE_000000000021002841,ok,211
STE_000000000024003167,ok,211
TAP_000000000016060314,ok,211
TAP_000000000018010207,ok,211
TAP_000000000019008459,ok,211
TAP_000000000023002985,ok,211
TFC_000000000016105326,ok,211
TFC_000000000019006560,ok,211
TFC_000000000020006213,ok,211
TFC_000000000022000223,ok,211
TFC_000000000024004217,ok,211
TPL_000000000020005339,ok,211
TPL_000000000025010229,ok,211
TPR_000000000020000940,ok,211
TYL_000000000018028949,ok,211
TYL_000000000023009644,ok,211
TYL_000000000025003720,ok,211
VRSK_000000000019010409,ok,211
VRTX_000000000016076290,ok,211
VRTX_999999999720000600,ok,211
VRTX_000000000022010341,ok,211
VRTX_000000000025003690,ok,211
VST_000000000017002173,ok,133
VST_000000000017045125,ok,211
VST_000000000018023647,ok,211
VST_000000000020004451,ok,211
VST_999999999721001049,ok,211
VTR_000000000016073108,ok,211
VTR_000000000017010655,ok,211
VTR_000000000018007350,ok,211
VTR_000000000021006675,ok,211
VTR_000000000022002848,ok,211
WM_000000000016086446,ok,211
WM_000000000018020863,ok,211
WM_000000000022003136,ok,211
WM_000000000025005259,ok,211
WMT_000000000016083666,ok,211
WMT_000000000017017799,ok,211
WMT_000000000018022033,ok,211
WRB_000000000017014278,ok,211
WY_000000000016068574,ok,211
WYNN_000000000018013115,ok,211
XYL_000000000017043097,ok,211
XYL_000000000020002659,ok,211
XYL_000000000022008046,ok,211
XYL_000000000024008323,ok,211
XYZ_000000000018025443,ok,211
XYZ_000000000023006942,ok,211
ZBH_000000000018013314,ok,211
